ORDERDATE,SALESAMOUNT,PRODUCT_SALES_R,PRODUCT_SALES_M,COUNTRY_SALES_CANADA,COUNTRY_SALES_UNITED_STATES,COUNTRY_SALES_AUSTRALIA,COUNTRY_SALES_UNITED_KINGDOM,COUNTRY_SALES_GERMANY,COUNTRY_SALES_FRANCE,MIN_SALESAMOUNT_3,MIN_SALESAMOUNT_7,MIN_SALESAMOUNT_14,MIN_SALESAMOUNT_30,MAX_SALESAMOUNT_3,MAX_SALESAMOUNT_7,MAX_SALESAMOUNT_14,MAX_SALESAMOUNT_30,SUM_SALESAMOUNT_3,SUM_SALESAMOUNT_7,SUM_SALESAMOUNT_14,SUM_SALESAMOUNT_30,AVG_SALESAMOUNT_3,AVG_SALESAMOUNT_7,AVG_SALESAMOUNT_14,AVG_SALESAMOUNT_30,STDDEV_SALESAMOUNT_3,STDDEV_SALESAMOUNT_7,STDDEV_SALESAMOUNT_14,STDDEV_SALESAMOUNT_30,MIN_PRODUCT_SALES_R_3,MIN_PRODUCT_SALES_R_7,MIN_PRODUCT_SALES_R_14,MIN_PRODUCT_SALES_R_30,AVG_PRODUCT_SALES_R_3,AVG_PRODUCT_SALES_R_7,AVG_PRODUCT_SALES_R_14,AVG_PRODUCT_SALES_R_30,AVG_PRODUCT_SALES_M_3,AVG_PRODUCT_SALES_M_7,AVG_PRODUCT_SALES_M_14,AVG_PRODUCT_SALES_M_30,AVG_COUNTRY_SALES_AUSTRALIA_3,AVG_COUNTRY_SALES_AUSTRALIA_7,AVG_COUNTRY_SALES_AUSTRALIA_14,AVG_COUNTRY_SALES_AUSTRALIA_30,AVG_COUNTRY_SALES_UNITED_STATES_3,AVG_COUNTRY_SALES_UNITED_STATES_7,AVG_COUNTRY_SALES_UNITED_STATES_14,AVG_COUNTRY_SALES_UNITED_STATES_30,STDDEV_COUNTRY_SALES_UNITED_STATES_3,STDDEV_COUNTRY_SALES_UNITED_STATES_7,STDDEV_COUNTRY_SALES_UNITED_STATES_14,STDDEV_COUNTRY_SALES_UNITED_STATES_30,AVG_COUNTRY_SALES_UNITED_KINGDOM_3,AVG_COUNTRY_SALES_UNITED_KINGDOM_7,AVG_COUNTRY_SALES_UNITED_KINGDOM_14,AVG_COUNTRY_SALES_UNITED_KINGDOM_30,AVG_COUNTRY_SALES_GERMANY_3,AVG_COUNTRY_SALES_GERMANY_7,AVG_COUNTRY_SALES_GERMANY_14,AVG_COUNTRY_SALES_GERMANY_30,LAG_SUM_SALESAMOUNT_7_7,LAG_SUM_SALESAMOUNT_7_14,LAG_SUM_SALESAMOUNT_7_21,LAG_SUM_SALESAMOUNT_7_28,LAG_SUM_SALESAMOUNT_14_7,LAG_SUM_SALESAMOUNT_14_14,LAG_SUM_SALESAMOUNT_14_21,LAG_SUM_SALESAMOUNT_14_28,LAG_SUM_SALESAMOUNT_30_7,LAG_SUM_SALESAMOUNT_30_14,LAG_SUM_SALESAMOUNT_30_21,LAG_SUM_SALESAMOUNT_30_28,LAG_AVG_SALESAMOUNT_7_7,LAG_AVG_SALESAMOUNT_7_14,LAG_AVG_SALESAMOUNT_7_21,LAG_AVG_SALESAMOUNT_7_28,LAG_AVG_SALESAMOUNT_14_7,LAG_AVG_SALESAMOUNT_14_14,LAG_AVG_SALESAMOUNT_14_21,LAG_AVG_SALESAMOUNT_14_28,LAG_AVG_SALESAMOUNT_30_7,LAG_AVG_SALESAMOUNT_30_14,LAG_AVG_SALESAMOUNT_30_21,LAG_AVG_SALESAMOUNT_30_28,LAG_AVG_PRODUCT_SALES_R_7_7,LAG_AVG_PRODUCT_SALES_R_7_14,LAG_AVG_PRODUCT_SALES_R_7_21,LAG_AVG_PRODUCT_SALES_R_7_28,MOVING_AVERAGE_SUM_SALESAMOUNT,PRODUCT_SALES_R_AVG_7_RATE_OF_CHANGE_21,AVG_SALESAMOUNT_14_RATE_OF_CHANGE_28,AVG_SALESAMOUNT_7_RATE_OF_CHANGE_14,AVG_SALESAMOUNT_7_AVG_30_RATIO,COUNTRY_SALES_UNITED_STATES_AVG_3_RATIO,PRODUCT_SALES_M_AVG_3_RATIO
2010-12-29,14477.3382,4277.3682,10199.9700,3578.2700,4099.0882,3399.9900,,,3399.9900,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382,14477.3382000,14477.3382000,14477.3382000,14477.3382000,,,,,4277.3682,4277.3682,4277.3682,4277.3682,4277.3682000,4277.3682000,4277.3682000,4277.3682000,10199.9700000,10199.9700000,10199.9700000,10199.9700000,3399.9900000,3399.9900000,3399.9900000,3399.9900000,4099.0882000,4099.0882000,4099.0882000,4099.0882000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,1.000000000000,1.000000000000
2010-12-30,13931.5200,7156.5400,6774.9800,,3578.2700,10353.2500,,,,13931.5200,13931.5200,13931.5200,13931.5200,14477.3382,14477.3382,14477.3382,14477.3382,28408.8582,28408.8582,28408.8582,28408.8582,14204.4291000,14204.4291000,14204.4291000,14204.4291000,385.9517505150352,385.9517505150352,385.9517505150352,385.9517505150352,4277.3682,4277.3682,4277.3682,4277.3682,5716.9541000,5716.9541000,5716.9541000,5716.9541000,8487.4750000,8487.4750000,8487.4750000,8487.4750000,6876.6200000,6876.6200000,6876.6200000,6876.6200000,3838.6791000,3838.6791000,3838.6791000,3838.6791000,368.27408098537154,368.27408098537154,368.27408098537154,368.27408098537154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,1.000000000000,1.000000000000
2010-12-31,15012.1782,15012.1782,,,7156.5400,7156.5400,699.0982,,,13931.5200,13931.5200,13931.5200,13931.5200,15012.1782,15012.1782,15012.1782,15012.1782,43421.0364,43421.0364,43421.0364,43421.0364,14473.6788000,14473.6788000,14473.6788000,14473.6788000,540.3383937062774,540.3383937062774,540.3383937062774,540.3383937062774,4277.3682,4277.3682,4277.3682,4277.3682,8815.3621333,8815.3621333,8815.3621333,8815.3621333,8487.4750000,8487.4750000,8487.4750000,8487.4750000,6969.9266666,6969.9266666,6969.9266666,6969.9266666,4944.6327333,4944.6327333,4944.6327333,4944.6327333,1933.1873206216758,1933.1873206216758,1933.1873206216758,1933.1873206216758,699.0982000,699.0982000,699.0982000,699.0982000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,1.000000000000,1.000000000000
2011-01-01,7156.5400,7156.5400,,,3578.2700,,,3578.2700,,7156.5400,7156.5400,7156.5400,7156.5400,15012.1782,15012.1782,15012.1782,15012.1782,50577.5764,50577.5764,50577.5764,50577.5764,12644.3941000,12644.3941000,12644.3941000,12644.3941000,3685.0744598210063,3685.0744598210063,3685.0744598210063,3685.0744598210063,4277.3682,4277.3682,4277.3682,4277.3682,8400.6566000,8400.6566000,8400.6566000,8400.6566000,8487.4750000,8487.4750000,8487.4750000,8487.4750000,6969.9266666,6969.9266666,6969.9266666,6969.9266666,4603.0420500,4603.0420500,4603.0420500,4603.0420500,1719.9454228265918,1719.9454228265918,1719.9454228265918,1719.9454228265918,699.0982000,699.0982000,699.0982000,699.0982000,3578.2700000,3578.2700000,3578.2700000,3578.2700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,1.000000000000,1.000000000000
2011-01-02,15012.1782,15012.1782,,,3578.2700,7855.6382,3578.2700,,,7156.5400,7156.5400,7156.5400,7156.5400,15012.1782,15012.1782,15012.1782,15012.1782,51112.4164,65589.7546,65589.7546,65589.7546,12778.1041000,13117.9509200,13117.9509200,13117.9509200,3782.1742132166623,3362.4560427850015,3362.4560427850015,3362.4560427850015,7156.5400,4277.3682,4277.3682,4277.3682,11084.3591000,9722.9609200,9722.9609200,9722.9609200,6774.9800000,8487.4750000,8487.4750000,8487.4750000,8455.1427333,7191.3545500,7191.3545500,7191.3545500,4472.8375000,4398.0876400,4398.0876400,4398.0876400,1789.135,1558.4257261797393,1558.4257261797393,1558.4257261797393,2138.6841000,2138.6841000,2138.6841000,2138.6841000,3578.2700000,3578.2700000,3578.2700000,3578.2700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,1.016995991467,0.798232689934
2011-01-03,14313.0800,14313.0800,,,7156.5400,,3578.2700,3578.2700,,7156.5400,7156.5400,7156.5400,7156.5400,15012.1782,15012.1782,15012.1782,15012.1782,51493.9764,79902.8346,79902.8346,79902.8346,12873.4941000,13317.1391000,13317.1391000,13317.1391000,3825.524413034603,3046.792427790146,3046.792427790146,3046.792427790146,7156.5400,4277.3682,4277.3682,4277.3682,12873.4941000,10487.9807666,10487.9807666,10487.9807666,,8487.4750000,8487.4750000,8487.4750000,7506.0891000,7191.3545500,7191.3545500,7191.3545500,5367.4050000,4857.8297000,4857.8297000,4857.8297000,2065.9151477331625,1791.9623784034475,1791.9623784034475,1791.9623784034475,2618.5460666,2618.5460666,2618.5460666,2618.5460666,3578.2700000,3578.2700000,3578.2700000,3578.2700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,1.104897728300,
2011-01-04,7855.6382,7855.6382,,,699.0982,3578.2700,3578.2700,,,7156.5400,7156.5400,7156.5400,7156.5400,15012.1782,15012.1782,15012.1782,15012.1782,44337.4364,87758.4728,87758.4728,87758.4728,11084.3591000,12536.9246857,12536.9246857,12536.9246857,4151.497844748055,3463.658250200291,3463.658250200291,3463.658250200291,7156.5400,4277.3682,4277.3682,4277.3682,11084.3591000,10111.9318285,10111.9318285,10111.9318285,,8487.4750000,8487.4750000,8487.4750000,5716.9541000,6468.7376400,6468.7376400,6468.7376400,3753.0445500,4263.7252000,4263.7252000,4263.7252000,2643.9529668978876,2268.625590481206,2268.625590481206,2268.625590481206,3578.2700000,2858.4770500,2858.4770500,2858.4770500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000000000000,0.880226650160,
2011-01-05,7855.6382,7855.6382,,,699.0982,3578.2700,,3578.2700,,7855.6382,7156.5400,7156.5400,7156.5400,15012.1782,15012.1782,15012.1782,15012.1782,45036.5346,95614.1110,95614.1110,95614.1110,11259.1336500,11951.7638750,11951.7638750,11951.7638750,3940.36776030294,3608.6544506871273,3608.6544506871273,3608.6544506871273,7855.6382,4277.3682,4277.3682,4277.3682,11259.1336500,9829.8951250,9829.8951250,9829.8951250,,8487.4750000,8487.4750000,8487.4750000,5004.0594000,5986.9930333,5986.9930333,5986.9930333,3033.2516000,3818.1468250,3818.1468250,3818.1468250,3065.6753728651834,2449.4377594432644,2449.4377594432644,2449.4377594432644,3578.2700000,2858.4770500,2858.4770500,2858.4770500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,14477.3382,,,,14477.3382,,,,14477.3382,,,,14477.3382000,,,,14477.3382000,,,,14477.3382000,,,,4277.3682000,,,,,,,,1.000000000000,0.794430318955,
2011-01-06,20909.7800,10734.8100,10174.9700,,10556.5300,6953.2600,3399.9900,,,7855.6382,7156.5400,7156.5400,7156.5400,20909.7800,20909.7800,20909.7800,20909.7800,50934.1364,102046.5528,116523.8910,116523.8910,12733.5341000,12755.8191000,12947.0990000,12947.0990000,6243.228307266128,4778.705703387394,4506.752342422967,4506.752342422967,7855.6382,7156.5400,4277.3682,4277.3682,10189.7916000,10637.0753500,9930.4412222,9930.4412222,10174.9700000,8474.9750000,9049.9733333,9049.9733333,4703.2666666,6579.2047000,6125.0311714,6125.0311714,4777.8166000,4625.3270500,4566.8560666,4566.8560666,4909.981030039534,3424.966690006798,3208.561504354687,3208.561504354687,3518.8433333,2966.7796400,2966.7796400,2966.7796400,3578.2700000,3578.2700000,3578.2700000,3578.2700000,28408.8582,,,,28408.8582,,,,28408.8582,,,,14204.4291000,,,,14204.4291000,,,,14204.4291000,,,,5716.9541000,,,,,,,,0.985226041757,1.046193821378,1.124309390234
2011-01-07,10556.5300,7156.5400,3399.9900,,3578.2700,6978.2600,,,,7855.6382,7156.5400,7156.5400,7156.5400,20909.7800,20909.7800,20909.7800,20909.7800,47177.5864,98671.5628,127080.4210,127080.4210,11794.3966000,12333.9453500,12708.0421000,12708.0421000,6208.869025180357,4808.964510588769,4315.73183618651,4315.73183618651,7156.5400,7156.5400,4277.3682,4277.3682,8400.6566000,10637.0753500,9653.0511000,9653.0511000,6787.4800000,6787.4800000,7637.4775000,7637.4775000,5272.0150000,6016.7063666,6231.6847750,6231.6847750,3883.2491000,4625.3270500,4467.9974600,4467.9974600,4651.283841753917,3424.966690006798,3041.1713311358103,3041.1713311358103,3489.1300000,2966.7796400,2966.7796400,2966.7796400,3578.2700000,3578.2700000,3578.2700000,3578.2700000,43421.0364,,,,43421.0364,,,,43421.0364,,,,14473.6788000,,,,14473.6788000,,,,14473.6788000,,,,8815.3621333,,,,,,,,0.970562204071,0.869125180747,0.888707037107
